searchval,blk_no,road_name,building,address,postal,x,y,latitude,longitude,query,category
thomson lane,,thomson lane,nil,thomson lane,nil,28773.1932295724,34727.549020721,1.33033787813249,103.840265901546,thomson lane,condo
the montana,8,jalan mutiara,the montana,8 jalan mutiara the montana singapore 249188,249188,27528.8898253776,30955.1708273925,1.29622207844163,103.82908544855,the montana,condo
avon park,1,youngberg terrace,avon park,1 youngberg terrace avon park singapore 357741,357741,32056.6596515365,35712.5212820917,1.33924560642212,103.869770060845,avon park,condo
rochelle at newton,188,keng lee road,rochelle at newton,188 keng lee road rochelle at newton singapore 308414,308414,28957.5795186115,32925.8568043746,1.31404425678498,103.841922909924,rochelle at newton,condo
horizon towers,15,leonie hill road,horizon towers,15 leonie hill road horizon towers singapore 239194,239194,28006.5738172391,31183.9053749833,1.29829067681172,103.833377647901,horizon towers,condo
sea esta,30,pasir ris link,sea esta,30 pasir ris link sea esta singapore 518147,518147,42033.6049451055,39942.9226968605,1.37750076552963,103.959420693377,sea esta,condo
the horizon,1,holt road,the horizon,1 holt road the horizon singapore 249441,249441,27269.8910170309,30766.0726887658,1.29451193637718,103.826758235545,the horizon,condo
the canopy,77,yishun avenue 11,the canopy,77 yishun avenue 11 the canopy singapore 768861,768861,29639.7904813876,45169.3534387816,1.42477003544273,103.848053591909,the clement canopy,condo
27 jalan limbok singapore 548714,27,jalan limbok,nil,27 jalan limbok singapore 548714,548714,32633.0428467616,38592.8767620511,1.36529442663066,103.87494964691,jalan limbok,condo
daisy road,,daisy road,nil,daisy road,nil,31802.5985183383,36248.6089871194,1.34409382685536,103.867487235831,daisy road,condo
blu coral,127,lorong l telok kurau,blu coral,127 lorong l telok kurau blu coral singapore 425562,425562,37025.7409480792,32776.5713251829,1.31269286351102,103.91441930412,blu coral,condo
rezi 35,20,lorong 35 geylang,rezi 35,20 lorong 35 geylang rezi 35 singapore 387949,387949,34178.6793724364,33111.3526594546,1.31572120937619,103.888837131268,rezi 35,condo
pine grove,1d,pine grove,pine grove,1d pine grove pine grove singapore 593001,593001,21447.4986281004,33330.4191590268,1.31770229019936,103.774441002367,pine grove,condo
primedge,45,lorong 34 geylang,primedge,45 lorong 34 geylang primedge singapore 398236,398236,34101.0963252326,32758.6268904991,1.31253129900962,103.888139939124,primedge,condo
honolulu tower,341,bukit timah road,honolulu tower,341 bukit timah road honolulu tower singapore 259719,259719,27750.4877272332,33373.29393957,1.31809073406194,103.831076582966,honolulu tower,condo
the aberdeen,2,jalan taman,the aberdeen,2 jalan taman the aberdeen singapore 329023,329023,31581.2551415293,34196.357146183,1.32553401753237,103.86549809331,the aberdeen,condo
sommerville estate road,,sommerville estate road,nil,sommerville estate road,nil,25001.5313911764,32527.4428003877,1.31044101002298,103.806375878889,sommerville estate road,condo
gideon's lodge,47,joo chiat lane,gideon's lodge,47 joo chiat lane gideon's lodge singapore 428105,428105,35815.9916579975,32799.9109371584,1.31290426949308,103.903549123093,gideon's lodge,condo
four seasons park,10,cuscaden walk,four seasons park,10 cuscaden walk four seasons park singapore 249693,249693,27370.9447668483,31724.514023019,1.30317974470181,103.827666227705,four seasons park,condo
ola residences,839,mountbatten road,ola residences,839 mountbatten road ola residences singapore 437831,437831,35288.9404333532,31708.7522126418,1.30303635048621,103.898813054006,ola residences,condo
2 opal crescent singapore 328397,2,opal crescent,nil,2 opal crescent singapore 328397,328397,31805.0130575057,34437.9647277854,1.32771900350227,103.867508708943,opal crescent,condo
british council (napier road centre),30,napier road,british council (napier road centre),30 napier road british council (napier road centre) singapore 258509,258509,26680.6093626879,31933.5037357211,1.30506975227221,103.821463236807,napier road,condo
monarchy apartments,51,mandalay road,monarchy apartments,51 mandalay road monarchy apartments singapore 308231,308231,29870.5976897003,34114.3243118878,1.32479229453516,103.85012690661,monarchy apartments,condo
vibes @ east coast,308,telok kurau road,vibes @ east coast,308 telok kurau road vibes @ east coast singapore 423858,423858,36725.3578455104,32421.6050292701,1.30948276318529,103.911720115974,vibes @ east coast,condo
the quayside,60,robertson quay,the quayside,60 robertson quay the quayside singapore 238252,238252,28654.4650634611,30276.3873202894,1.29008339576408,103.839199219609,the quayside,condo
midwood,10,hillview rise,midwood,10 hillview rise midwood singapore 667972,667972,20249.0467721373,38461.5105951168,1.36410574565492,103.763670992519,midwood,condo
seaside park,584,east coast road,seaside park,584 east coast road seaside park singapore 458992,458992,37633.3281341502,32560.3556156568,1.31073730302078,103.919878702817,seaside park,condo
floridian,971,bukit timah road,floridian,971 bukit timah road floridian singapore 589647,589647,22600.5721477829,35038.6880431902,1.33315148879487,103.78480165429,floridian,condo
the sterling,1003,bukit timah road,the sterling,1003 bukit timah road the sterling singapore 596289,596289,22271.1245770659,35267.4085161686,1.33521989433288,103.7818413386,the sterling,condo
the medley,66,lorong g telok kurau,the medley,66 lorong g telok kurau the medley singapore 426248,426248,36659.395312883,33271.8988576997,1.31717253191527,103.911127649026,the medley,condo
the sanctuary @ geylang,1,lorong 30 geylang,the sanctuary @ geylang,1 lorong 30 geylang the sanctuary @ geylang singapore 398342,398342,33914.9472870631,32860.9923639279,1.31345709214795,103.886467318231,the sanctuary @ geylang,condo
154 hougang street 11 singapore 530154,154,hougang street 11,nil,154 hougang street 11 singapore 530154,530154,33214.3894767612,37145.2985454537,1.3522029527063,103.880173191904,hougang street 11,condo
botanique at bartley,233,upper paya lebar road,botanique at bartley,233 upper paya lebar road botanique at bartley singapore 533869,533869,33488.42917265,36014.1208851933,1.34197293873428,103.882635407026,botanique at bartley,condo
holt road,,holt road,nil,holt road,nil,27167.1137270312,30735.031677419,1.29423111118019,103.825834609771,seven holt road,condo
upper serangoon shopping centre,756,upper serangoon road,upper serangoon shopping centre,756 upper serangoon road upper serangoon shopping centre singapore 534626,534626,33064.697135333,37286.5960918665,1.35348082277147,103.878828134896,upper serangoon shopping centre,condo
familie mansions,65,lorong 8 geylang,familie mansions,65 lorong 8 geylang familie mansions singapore 399125,399125,32917.3350351667,32460.6476409305,1.30983669240885,103.877503215165,familie mansions,condo
kim seng road,,kim seng road,nil,kim seng road,nil,27990.1759987151,30568.6638942514,1.2927264240571,103.833230428048,kim seng road,condo
87 geylang east avenue 2 singapore 389753,87,geylang east avenue 2,nil,87 geylang east avenue 2 singapore 389753,389753,34172.1258696737,33360.3129699305,1.31797271874983,103.888778294506,geylang east avenue 2,condo
reflections at keppel bay,17,keppel bay view,reflections at keppel bay,17 keppel bay view reflections at keppel bay singapore 098411,098411,25494.2172097452,27641.9423184972,1.26625830660217,103.810803288694,reflections at keppel bay,condo
toa payoh vista,55,lorong 5 toa payoh,toa payoh vista,55 lorong 5 toa payoh toa payoh vista singapore 310055,310055,29989.7665553615,35503.9726344477,1.33735977355321,103.851197793444,lorong 5 toa payoh,condo
new futura,18,leonie hill road,new futura,18 leonie hill road new futura singapore 239199,239199,28083.2312997691,31165.5243851729,1.29812444550056,103.834066449377,new futura,condo
east bay gardens,87,lorong g telok kurau,east bay gardens,87 lorong g telok kurau east bay gardens singapore 426277,426277,36777.5497168014,33379.983829869,1.31814997971255,103.912189356489,east bay gardens,condo
the rochester,31,rochester drive,the rochester,31 rochester drive the rochester singapore 138637,138637,22995.1179488525,31964.6678030957,1.30535121238071,103.788347370864,rochester drive,condo
claymore road,,claymore road,nil,claymore road,nil,27651.2055801392,32222.83105868,1.30768595251898,103.830185347453,claymore road,condo
beverly hill,61,grange road,beverly hill,61 grange road beverly hill singapore 249570,249570,27137.2322861189,31207.5858347248,1.29850482255037,103.825566227543,beverly hill,condo
rising court,441,joo chiat road,rising court,441 joo chiat road rising court singapore 427654,427654,35914.1380166393,32160.3777708896,1.30712053650072,103.904430853105,rising court,condo
the hillford,174,jalan jurong kechil,the hillford,174 jalan jurong kechil the hillford singapore 596183,596183,20877.3516969001,36302.6251964793,1.34458172465993,103.769317249406,the hillford,condo
terrasse,37,terrasse lane,terrasse,37 terrasse lane terrasse singapore 544782,544782,32853.4541528514,38961.5912907254,1.36862891294021,103.876930253453,terrasse,condo
marymount terrace,,marymount terrace,nil,marymount terrace,nil,28763.0997308836,36890.2717924374,1.34989702815562,103.84017551079,marymount terrace,condo
signature park,52a,toh tuck road,signature park,52a toh tuck road signature park singapore 596744,596744,20926.2769263163,36042.2763755228,1.34222723540446,103.769756933042,signature park,condo
heritage view,10,dover rise,heritage view,10 dover rise heritage view singapore 138680,138680,22542.3020113409,31861.3451349512,1.30441672235897,103.784278626735,heritage view,condo
bleu @ east coast,562,upper east coast road,bleu @ east coast,562 upper east coast road bleu @ east coast singapore 466581,466581,40450.1638288405,33117.5034164265,1.31577493252134,103.945189532444,bleu @ east coast,condo
sommerville loft,7,sommerville walk,sommerville loft,7 sommerville walk sommerville loft singapore 358178,358178,32058.8521734728,36201.702749176,1.34366958875438,103.869789827423,sommerville walk,condo
euhabitat,214,jalan eunos,euhabitat,214 jalan eunos euhabitat singapore 419551,419551,36276.9469892774,34423.1998539884,1.32758458776964,103.907691468201,euhabitat,condo
tanah merah kechil road,,tanah merah kechil road,nil,tanah merah kechil road,nil,40290.2693546644,34483.6744525931,1.32813009986287,103.943753344958,tanah merah kechil road,condo
hwa chong institution,661,bukit timah road,hwa chong institution,661 bukit timah road hwa chong institution singapore 269734,269734,24926.8156149359,34131.5293299966,1.3249477928719,103.805704361472,institution ville,condo
le reve,25,kampong eunos,le reve,25 kampong eunos le reve singapore 417782,417782,36106.5061568869,33439.709462842,1.3186903015874,103.906159705703,le reve,condo
jui residences,1177,serangoon road,jui residences,1177 serangoon road jui residences singapore 328231,328231,31652.9893548992,34277.5963236764,1.32626870727644,103.866142673614,jui residences,condo
lakeville,9,jurong lake link,lakeville,9 jurong lake link lakeville singapore 648164,648164,16053.4099527476,36364.191758493,1.34513697879955,103.725971213636,lakeville,condo
kovan regency,20,kovan rise,kovan regency,20 kovan rise kovan regency singapore 544718,544718,33755.2666320801,38411.8403495476,1.36365700164603,103.885033559983,kovan regency,condo
the taipan,25,jalan hajijah,the taipan,25 jalan hajijah the taipan singapore 468721,468721,39308.153348011,32734.0453528836,1.31230752039196,103.934927867972,the taipan,condo
nicole green,68,guillemard road,nicole green,68 guillemard road nicole green singapore 399710,399710,33178.6227084426,32401.814671332,1.30930458520869,103.879851001095,nicole green,condo
parc esta,904,sims avenue,parc esta,904 sims avenue parc esta singapore 408968,408968,35862.5024406211,33348.4689868297,1.31786521916555,103.903967184717,parc esta,condo
chwee chian road,,chwee chian road,nil,chwee chian road,nil,23083.9951915005,29070.9556067456,1.27918151826735,103.789146426568,chwee chian road,condo
2 rvg,2,river valley grove,2 rvg,2 river valley grove 2 rvg singapore 238405,238405,28124.7525263485,30980.3680763338,1.29644995684098,103.834439535286,2 rvg,condo
the arc at draycott,5,draycott drive,the arc at draycott,5 draycott drive the arc at draycott singapore 259420,259420,27730.4187525054,32391.7688486073,1.30921416741461,103.830896261502,the arc at draycott,condo
city edge,18,moulmein rise,city edge,18 moulmein rise city edge singapore 308133,308133,29480.9876584671,33532.8080903757,1.31953328897071,103.84662602278,city edge,condo
signature crest,9,gray lane,signature crest,9 gray lane signature crest singapore 438951,438951,34657.5303161414,32728.5337043889,1.31225903171368,103.893139764788,signature crest,condo
the silverton,16,haig lane,the silverton,16 haig lane the silverton singapore 438818,438818,35342.8685669946,32349.5411067531,1.30883140284246,103.899297773899,the silverton,condo
hillview 128,124,hillview avenue,hillview 128,124 hillview avenue hillview 128 singapore 669611,669611,19970.1508506741,37684.6126620937,1.35707968895277,103.76116513308,hillview avenue,condo
dorset mansions,101,dorset road,dorset mansions,101 dorset road dorset mansions singapore 219494,219494,29853.9378282465,32865.6991262008,1.31350017106513,103.849977133757,dorset mansions,condo
nanyang park,197,yio chu kang road,nanyang park,197 yio chu kang road nanyang park singapore 545644,545644,32553.5720156813,38567.4828317519,1.36506478537527,103.874235543221,nanyang park,condo
